APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z
b'2M16333372-3004039' , 0.0 , 0.0 , 0.9942389987862734 , 0.0021531506629517416 , 0.005760996648237666 , 0.0032792667445342965 , -2.4689728225611303 , -1.0528808088973822 , 1.2865924033770362
b'2M16333415-1346321' , 0.0 , 0.0 , 0.7408711863140507 , 0.07152038384932469 , 0.25647547842125556 , 0.10220781812129726 , -2.917717687897202 , 0.27438542667152227 , 2.2481452072521377
b'2M16340984-2920375' , 0.0 , 0.0 , 7.002262118637991e-06 , 1.361579690331218e-05 , 0.9999925310720628 , 4.464704204676373e-06 , -2.6358369499429903 , -0.9570718473020804 , 1.2880646968541207
b'2M16342337-2924312' , 0.0 , 0.0 , 0.7395302580558882 , 0.04435293105572735 , 0.2604697419425046 , 0.03932079193045235 , -2.3042283193936095 , -1.0149222148572732 , 1.3529201570116112
b'2M16350856-3037204' , 0.0 , 0.0 , 0.0001483954069108312 , 0.00021550977186682503 , 0.9998516044834587 , 8.732233331654182e-05 , -2.6648033378693636 , -1.0373678768842443 , 1.1802608865472217
b'2M16353180-2941353' , 0.0 , 0.0 , 0.3193074365812041 , 0.041861194203268115 , 0.6803839454116649 , 0.04416455145940512 , -2.6507018957607675 , -0.9615944169239385 , 1.2375545812838893
b'2M16361404-3004199' , 0.0 , 0.0 , 0.8261103434602264 , 0.029155416774904852 , 0.1738896565396466 , 0.029255352024987247 , -2.06697165303535 , -1.0822145896697848 , 1.3211793437942578
b'2M16363283-2947148' , 0.0 , 0.0 , 0.06383019670072196 , 0.030355570570885615 , 0.9361691576504778 , 0.015101495490925099 , -2.044297180975101 , -1.0563720217232377 , 1.3404715303142933
b'2M16363497-2815123' , 0.0 , 0.0 , 0.0046922392828538375 , 0.0025960968403414006 , 0.9953077607161215 , 0.0015142108305198354 , -2.548657048054036 , -0.8483829813789704 , 1.3366041963838942
b'2M16365963-3007519' , 0.0 , 0.0 , 0.004741652521073966 , 0.003911917298808453 , 0.9952583420908631 , 0.0018069447283012297 , -2.0609127892025993 , -1.0760336791372942 , 1.3034623266616754
b'2M16370056-2940325' , 0.0 , 0.0 , 0.9994184792018317 , 0.0003869504814254521 , 0.000480387939019725 , 0.0008641243169017855 , -2.631522072063798 , -0.9416171205192341 , 1.2166330261901377
b'2M16370873-2954385' , 0.0 , 0.0 , 0.0050840585091065545 , 0.0031561874832211553 , 0.9948757194336916 , 0.0016440188306685588 , -2.661074088353894 , -0.9530817640725274 , 1.1927031108406492
b'2M16371231-2931259' , 0.0 , 0.0 , 0.3392405269493093 , 0.05551936883397579 , 0.6579987895367762 , 0.05682069352156016 , -2.111823837787635 , -1.0117710023519537 , 1.3325255714289708
b'2M16372232-3014482' , 0.0 , 0.0 , 0.026751488467892444 , 0.007160958606114917 , 0.9730087680357016 , 0.006053708865630059 , -2.7989809083941255 , -0.9521688137915642 , 1.1390036581681964
b'2M16373333-3011410' , 0.0 , 0.0 , 0.001039109844481279 , 0.000579924742081244 , 0.9989608901529208 , 0.00039850416650377696 , -2.16828275442852 , -1.054003165124655 , 1.2663558703983688
b'2M16381780-2730372' , 0.0 , 0.0 , 0.007392684007768453 , 0.005924254736629523 , 0.9926073159806105 , 0.0032620757142672874 , -2.7290482277192396 , -0.7393157686600891 , 1.3130494554507202
b'2M16392060-2804328' , 0.0 , 0.0 , 0.008591098236036768 , 0.007895813485386625 , 0.9912456380398458 , 0.0037434327481682406 , -2.12722103765147 , -0.8509042961956611 , 1.390751910049426
b'2M16400667-2717522' , 0.0 , 0.0 , 0.09176658049162581 , 0.04182987571736235 , 0.9056859198051099 , 0.02968757119003851 , -1.967681522129614 , -0.7917418153855841 , 1.4669417359765209
b'2M16414770-1851172' , 0.0 , 0.0 , 1.777246502867562e-07 , 4.459939241733415e-07 , 0.9999998221092782 , 9.870980710591226e-08 , -2.7967238950269833 , -0.00690083258545221 , 1.7865086765919034
b'2M16420438-2804438' , 0.0 , 0.0 , 0.06631628622404839 , 0.0267847881030618 , 0.9336837137746604 , 0.021852720398162773 , -1.8551180488562027 , -0.8433614333595504 , 1.394463403152547
b'2M16420787-2834310' , 0.0 , 0.0 , 0.9971960214516624 , 0.0010603669934141635 , 0.002791431908084536 , 0.0015676683682570181 , -1.9658384259759583 , -0.8717476073755083 , 1.3340718972481282
b'2M16432563-2757311' , 0.0 , 0.0 , 0.8269511475254041 , 0.03284685648867558 , 0.17304885100858364 , 0.03922653826196726 , -2.1447393825726193 , -0.7738582391679767 , 1.3149915630926605
b'2M16432657-1846563' , 0.0 , 0.0 , 0.0015673732623130293 , 0.0018182802829082812 , 0.9983784906380975 , 0.0007240983619697383 , -2.3704979077215222 , 0.024736578194472496 , 1.8925531077970312
b'2M16440611-1821516' , 0.0 , 0.0 , 0.19392053064245918 , 0.0959167803363356 , 0.8060794693431403 , 0.06179552528740673 , -2.3085234990645924 , 0.07175136507952841 , 1.9272461860148824
b'2M16441440-1833115' , 0.0 , 0.0 , 0.9986580574253405 , 0.000640449338730309 , 0.0013037377195174293 , 0.0012488727671603815 , -2.1591800154500937 , 0.05895223767726015 , 1.9578677628471644
b'2M16441574-4436344' , 0.0 , 0.0 , 0.08039065185480931 , 0.01861723272391716 , 0.9196093481451786 , 0.015592625579535113 , -1.176574020237389 , -2.568667108567768 , 0.1329330180515067
b'2M16442574-4509385' , 0.0 , 0.0 , 0.012943162921543796 , 0.005397744810749389 , 0.9869642645632971 , 0.004007507542779898 , -1.5336646491899053 , -2.493115710408596 , 0.07985393556642827
b'2M16445759-4441421' , 0.0 , 0.0 , 0.01485359195836041 , 0.006206322932342552 , 0.985146408040672 , 0.004506910522372842 , -1.4292410516252918 , -2.475349439086841 , 0.11018028274655083
b'2M16451492-1822427' , 0.0 , 0.0 , 0.05959823366419452 , 0.02023471126961035 , 0.9404017660333763 , 0.01665096023246948 , -2.96735517811958 , 0.07890735194982354 , 1.6957112965577803
b'2M16452316-2550243' , 0.0 , 0.0 , 0.04189229355142576 , 0.020695730954958927 , 0.9581077064390353 , 0.013912091551038785 , -2.229138524013538 , -0.5530001023477895 , 1.4043481459174756
b'2M16454160-4502430' , 0.0 , 0.0 , 1.9373259934596214e-07 , 1.0921521546205282e-07 , 0.9999998042652727 , 7.046291383705494e-08 , -1.5630758928288317 , -2.4512075076692637 , 0.06781717284243158
b'2M16455826-2600583' , 0.0 , 0.0 , 0.21937536148289427 , 0.0847078496871232 , 0.7728060079079366 , 0.07794964582756281 , -2.4145084507661334 , -0.5418896422316231 , 1.339438249608896
b'2M16461109-1858379' , 0.0 , 0.0 , 8.000110554068921e-05 , 0.00010708151017142775 , 0.9999191121381636 , 3.261964199718914e-05 , -2.993919077607554 , 0.045482485268083454 , 1.632587154745963
b'2M16461456-2631008' , 0.0 , 0.0 , 0.025852935622905894 , 0.011601981373515993 , 0.974147064172465 , 0.006071436371083649 , -2.1048840365210166 , -0.6096304985409596 , 1.3679554156609868
b'2M16462301-2536322' , 0.0 , 0.0 , 0.0790395043218122 , 0.022991151220205508 , 0.9207199921363451 , 0.020282328550993767 , -2.6749449095512707 , -0.47984331386021634 , 1.299680224922982
b'2M16465205-2537352' , 0.0 , 0.0 , 0.1859946624844295 , 0.0909044999930417 , 0.814005337510352 , 0.06692211684195148 , -2.2829582402609425 , -0.5073640420807846 , 1.3774130028909997
b'2M16465705-2532209' , 0.0 , 0.0 , 0.897303547586317 , 0.025046355067217307 , 0.10269645241145797 , 0.04111384893408032 , -2.5626751686533247 , -0.4755217048427294 , 1.3188301431283698
b'2M16470131-4447305' , 0.0 , 0.0 , 0.6202131936075356 , 0.0410612891021962 , 0.3797868063772136 , 0.045787123289314724 , -1.3755968165771746 , -2.4722464993530835 , 0.06693994911011653
b'2M16470215-2445331' , 0.0 , 0.0 , 0.00010561238181601536 , 9.74337105562108e-05 , 0.9998930509661882 , 4.742354132414306e-05 , -2.3868386849098195 , -0.42390341202616183 , 1.408517830495326
b'2M16470710-2644234' , 0.0 , 0.0 , 0.9997877636403874 , 0.00010839769362724905 , 0.00020478232316059445 , 0.00017872112712820652 , -1.9729900008184833 , -0.6283822212794062 , 1.3626642278672607
b'2M16471691-1840446' , 0.0 , 0.0 , 0.6877997557969261 , 0.0576880897205756 , 0.31220024416284264 , 0.08818631513250008 , -2.66894659774744 , 0.08876695631784184 , 1.728126864649967
b'2M16471739-2615104' , 0.0 , 0.0 , 0.32096555927405623 , 0.07138398359699816 , 0.6790344407241412 , 0.06841413381988848 , -2.2933535753482657 , -0.552922938946411 , 1.3245931070438306
b'2M16472791-2543146' , 0.0 , 0.0 , 0.9994530489697229 , 0.00023964206603244165 , 0.0005469510233624638 , 0.0003981481874188647 , -2.9088840422368953 , -0.45356306331036744 , 1.2209766444194055
b'2M16473681-2542077' , 0.0 , 0.0 , 0.0008458404554690889 , 0.000422440710976333 , 0.9991541595372884 , 0.00031694112226055005 , -2.7480959488962577 , -0.4635581310833873 , 1.2549545936255424
b'2M16481473-2631589' , 0.0 , 0.0 , 0.003488671996572324 , 0.0021810322635028323 , 0.9965113279910143 , 0.0010945562620283678 , -2.7814673894529305 , -0.5164102449910684 , 1.1849741015264335
b'2M16482173-2652455' , 0.0 , 0.0 , 0.011358441830151632 , 0.005392120223827717 , 0.9886415480821773 , 0.003115560502769399 , -2.8237230792276833 , -0.5374795655715752 , 1.1529260009499518
b'2M16482178-2452293' , 0.0 , 0.0 , 0.0038178141649094477 , 0.002334260906216208 , 0.9961821841647116 , 0.0013688099010291666 , -2.4195745585519326 , -0.4113249190291651 , 1.3673846113051944
