l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-34.298019   6.553423  6.2888  0.6742 -8.6652  0.0277  0.4887  0.0320 -0.0413  -58.5480    0.1240  1.0000 -99.0000  0.0272  0.1569 -99.0000 120.0000 2M15173076-4944572  
-30.348150  12.659166  5.2968  0.3323 -8.4031  0.0232  3.2327  0.0353 -0.1534  -36.3362    0.3177  1.0000 -99.0000 -0.2915  0.2741 -99.0000 121.0000 2M15173111-4230298  
-34.572433   6.114685  5.8927  0.3116 -6.9173  0.0391 -1.6857  0.0534 -0.1500  -44.9830    0.5604  1.0000 -99.0000  0.1036  0.1518 -99.0000 122.0000 2M15173189-5015570  
-34.503952   6.196732  7.0715  1.0979 -6.1604  0.0218 -0.6238  0.0289 -0.1156  -31.8977    0.3372  1.0000 -99.0000  0.2804  0.0398 -99.0000 123.0000 2M15173710-5009364  
-34.613981   5.997371  7.5617  0.8157 -7.3286  0.0324 -0.4680  0.0493 -0.1962  -65.6514    0.2848  1.0000 -99.0000 -0.0845  0.1325 -99.0000 124.0000 2M15174225-5023136  
-30.629829  12.166210  6.3827  0.4626 -9.3465  0.0332  0.9148  0.0438 -0.4413 -162.0680    0.3534  1.0000 -99.0000 -0.2337  0.3023 -99.0000 125.0000 2M15174302-4304179  
-34.287775   6.500305  7.6091  1.1483 -7.9654  0.0269 -2.9674  0.0236 -0.2253  -31.2087    0.3892  1.0000 -99.0000 -0.4948  0.3451 -99.0000 126.0000 2M15174449-4947195  
-34.326014   6.396666  6.0158  0.7305 -4.9545  0.0382  0.1224  0.0385 -0.1614  -63.4347    0.7843  1.0000 -99.0000 -0.0292  0.0618 -99.0000 129.0000 2M15175313-4953480  
-30.569741  12.183026  6.8471  0.5319 -8.1673  0.0324  0.7832  0.0345 -0.2208  -56.0913    0.6875  1.0000 -99.0000 -0.3103  0.1893 -99.0000 130.0000 2M15175623-4301323  
-30.498287  12.245906  6.1552  0.7210 -7.3312  0.0193  2.3095  0.0201 -0.1071 -103.7519    2.7489  1.0000 -99.0000  0.0317  0.1546 -99.0000 131.0000 2M15180425-4256056  
-34.599375   5.907190  5.2627  0.3411 -8.2687  0.0325 -0.8885  0.0533 -0.1694  -54.3835    0.4167  1.0000 -99.0000  0.1765  0.0658 -99.0000 132.0000 2M15180501-5027203  
-34.360712   6.250843  6.8510  0.6600 -2.8245  0.0278 -1.1894  0.0339 -0.1485   18.7802    0.3186  1.0000 -99.0000 -0.3077  0.3204 -99.0000 134.0000 2M15181134-5002180  
-34.081706   6.672177  7.0394  0.7050 -6.4683  0.0281  1.4581  0.0429 -0.1160 -113.9742    0.2889  1.0000 -99.0000 -0.5701  0.3645 -99.0000 136.0000 2M15181456-4932026  
-30.567644  12.039862  7.0854  0.7277 -7.3005  0.0208  1.4406  0.0255 -0.1893  -52.3843    0.1939  1.0000 -99.0000 -0.4414  0.3495 -99.0000 139.0000 2M15182237-4308408  
-30.494774  12.085907  5.1102  0.3442 -1.1590  0.0323 -1.3782  0.0344 -0.1527    8.4587    0.3877  1.0000 -99.0000 -0.2896  0.2746 -99.0000 143.0000 2M15183377-4304020  
-30.638049  11.843924  5.9764  0.6405 -6.0202  0.0173 -0.3974  0.0221 -0.1838  -55.3660    0.2443  1.0000 -99.0000 -0.2557  0.2427 -99.0000 144.0000 2M15183849-4320474  
-34.612564   5.715623  6.4130  0.5611 -6.0542  0.0652 -0.0316  0.1106 -0.2493   -0.4902    0.2330  1.0000 -99.0000 -0.3181  0.2888 -99.0000 145.0000 2M15183953-5037282  
-33.998297   6.669679  6.2504  0.7812 -8.1730  0.0229 -1.2673  0.0340 -0.2113  -28.3061    0.2656  1.0000 -99.0000  0.2583  0.0498 -99.0000 146.0000 2M15184091-4929302  
-34.197005   6.340358  7.5096  0.6266 -7.0680  0.0483 -0.3063  0.0687 -0.0727 -109.2735    0.3110  1.0000 -99.0000 -0.2263  0.2472 -99.0000 147.0000 2M15184469-4952320  
-30.054542  12.670165  5.2880  0.3859 -7.6700  0.0203 -0.1947  0.0279 -0.1436  -14.8904    0.6432  1.0000 -99.0000 -0.2286  0.1650 -99.0000 149.0000 2M15184726-4220347  
-30.537379  11.933471  5.7805  0.3617 -4.1148  0.0281 -2.3714  0.0297 -0.2868  -64.4352    0.2416  1.0000 -99.0000 -0.2710  0.2689 -99.0000 151.0000 2M15184962-4313039  
-34.377243   6.028821  6.3650  0.8473 -5.4402  0.0157 -1.1426  0.0241 -0.1146  -10.1826    0.5907  1.0000 -99.0000 -0.5763  0.2579 -99.0000 152.0000 2M15185068-5014046  
-34.514779   5.811499  5.2139  0.5392 -2.6061  0.0997 -2.0390  0.1294 -0.1083  -47.6033    0.2849  1.0000 -99.0000 -0.4427  0.2468 -99.0000 153.0000 2M15185113-5029290  
-34.108358   6.442500  7.4469  0.7692 -3.6406  0.0282 -0.8291  0.0354 -0.1827  -51.2953    0.4236  1.0000 -99.0000 -0.4642  0.2913 -99.0000 154.0000 2M15185193-4944315  
-34.275423   6.160444  6.3542  0.4985 -9.1702  0.0661  0.2356  0.1122 -0.0091  -45.3585    0.3697  1.0000 -99.0000 -0.2114  0.2588 -99.0000 155.0000 2M15185620-5004091  
-34.546643   5.732510  7.6537  1.0357 -7.4529  0.0188 -1.1250  0.0297 -0.0716   68.2594    0.2684  1.0000 -99.0000 -0.4957  0.2369 -99.0000 156.0000 2M15185704-5034302  
-34.384424   5.980788  6.2190  0.6234 -5.3989  0.0541  1.1258  0.0755 -0.1068  -71.1292    0.2516  1.0000 -99.0000 -0.2610  0.1298 -99.0000 157.0000 2M15185810-5016442  
-34.340059   6.037299  8.2079  0.8484 -7.7789  0.0463  1.5148  0.0736 -0.1094  -59.6293    0.3557  1.0000 -99.0000 -0.5286  0.3791 -99.0000 159.0000 2M15190068-5012273  
