l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-30.194941  12.143754  9.6953  0.1470 -5.9992  0.0215  1.0516  0.0220 -0.2532  -85.5442    0.3287  1.0000 -99.0000 -0.7534  0.3638 -99.0000 152.0000 2M15194390-4251305  
-29.952912  12.460378  8.2022  0.1458 -3.2056  0.0226  1.0387  0.0228 -0.2554 -105.6931    0.3888  1.0000 -99.0000 -0.2313  0.2243 -99.0000 158.0000 2M15195162-4227504  
-34.393003   5.696923  7.5645  0.0195 -8.5965  0.0160 -0.7988  0.0255 -0.0600  -18.9392    0.4308  1.0000 -99.0000  0.2655  0.0404 -99.0000 159.0000 2M15195296-5031218  
-30.345158  11.832375  6.7892  0.5290 -6.2611  0.0299  0.1358  0.0423 -0.0317  -38.6554    0.2981  1.0000 -99.0000 -0.1767  0.2581 -99.0000 162.0000 2M15195969-4311578  
-29.717538  12.733917  7.8701  0.2276 -10.7079  0.0294 -0.3860  0.0310 -0.2092   89.1668    0.4122  1.0000 -99.0000 -0.6370  0.3511 -99.0000 165.0000 2M15200499-4206330  
-29.967352  12.358500  5.4208  0.1546 -7.3111  0.0222 -0.0279  0.0296 -0.1442 -114.2879    0.3538  1.0000 -99.0000 -0.4268  0.3403 -99.0000 166.0000 2M15200604-4233245  
-30.285936  11.871950  5.5711  0.1250 -6.3084  0.0189 -0.1333  0.0228 -0.1066  -99.4692    0.5512  1.0000 -99.0000 -0.3405  0.3115 -99.0000 167.0000 2M15200847-4308041  
-29.986809  12.273150  7.3050  0.3695 -7.7097  0.0328 -0.8695  0.0398 -0.2746  -91.2255    0.2604  1.0000 -99.0000 -0.6279  0.3481 -99.0000 169.0000 2M15201618-4238187  
-30.011335  12.225041  6.8537  0.2588 -5.5002  0.0291 -1.8797  0.0315 -0.1575 -142.7036    0.4039  1.0000 -99.0000 -0.2699  0.2840 -99.0000 170.0000 2M15201830-4241308  
-34.049735   6.076358  7.6323  0.3664 -9.0385  0.0137 -1.3451  0.0258 -0.0662  -84.9026    0.2636  1.0000 -99.0000 -0.1773  0.1793 -99.0000 171.0000 2M15202378-5001082  
-29.950706  12.262819  6.5475  0.1553 -3.2928  0.0302 -0.0277  0.0358 -0.2823   70.3775    0.3326  1.0000 -99.0000 -0.5787  0.3830 -99.0000 172.0000 2M15202764-4237399  
-34.303254   5.614350  7.5418  0.1429 -6.9596  0.0149  1.7277  0.0255 -0.1081  -59.2583    0.2563  1.0000 -99.0000 -0.2345  0.2589 -99.0000 176.0000 2M15203817-5032381  
-30.185089  11.849319  7.6692  0.3229 -7.3373  0.0149  3.6077  0.0187 -0.1334   -0.1267    0.2658  1.0000 -99.0000 -0.4420  0.3233 -99.0000 177.0000 2M15203966-4305567  
