l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-30.673694  12.692060  6.5913  0.4563 -3.7354  0.0189 -1.8534  0.0205 -0.2077   19.8205    0.1988  1.0000 -99.0000 -0.3748  0.3312 -99.0000 68.0000 2M15155821-4239079  
-30.904279  12.314504  6.9738  0.2950 -5.7765  0.0229 -0.3324  0.0216 -0.1621   -7.1839    0.2125  1.0000 -99.0000 -0.1264  0.2089 -99.0000 69.0000 2M15160253-4305297  
-30.624004  12.705219  6.2202  0.2816 -5.2997  0.0242  2.3364  0.0289 -0.1790 -107.8506    0.3519  1.0000 -99.0000 -0.5476  0.3421 -99.0000 71.0000 2M15160924-4236541  
-30.939269  12.213956  6.7455  0.2802 -4.3446  0.0277  0.9206  0.0262 -0.2167  -99.9428    0.4468  1.0000 -99.0000 -0.5413  0.3823 -99.0000 72.0000 2M15161082-4311411  
-30.660793  12.603905  9.6187  0.4510 -4.6976  0.0457 -1.2027  0.0370 -0.2837 -100.3756    0.2465  1.0000 -99.0000 -0.4154  0.3497 -99.0000 74.0000 2M15161717-4243110  
-30.634914  12.616756  5.1431  0.3107 -13.4582  0.0265 -2.2961  0.0212 -0.2955  -43.4754    0.7761  1.0000 -99.0000 -0.4581  0.3493 -99.0000 76.0000 2M15162187-4241430  
-30.683990  12.535262  6.8374  0.5954 -11.4606  0.0227  0.2491  0.0232 -0.4023 -131.5989    0.3180  1.0000 -99.0000 -0.6197  0.3558 -99.0000 77.0000 2M15162304-4247231  
-30.761449  12.402678  5.7478  0.2534 -0.9147  0.0187  2.1982  0.0279 -0.3927   81.1131    0.3375  1.0000 -99.0000 -0.3453  0.1255 -99.0000 78.0000 2M15162556-4256320  
-34.419168   6.689884  7.3153  0.3558 -9.0170  0.0318  0.6152  0.0394 -0.1212  -41.6608    2.2954  1.0000 -99.0000 -0.6095  0.2717 -99.0000 79.0000 2M15162600-4941513  
-30.397465  12.953412  5.2863  0.1983 -4.5309  0.0257 -4.8773  0.0409  0.0280   25.2810    0.3213  1.0000 -99.0000 -0.4221  0.3159 -99.0000 80.0000 2M15162619-4217129  
